"ID","Thinking.a.lot.about.COVID.19","Easily.distracted","Forgetful.in.daily.activities","Easily.switching.tasks","More.focus","More.disorganization","Having.racing.thoughts","Zoning.out","Able.to.sustain.attention.on.tasks","Able.to.plan.activities.or.work","Able.to.review.work","ExpectMoreSame"
"EF1001C1","very slightly or not at all","moderately","moderately","very slightly or not at all","moderately","slightly","very slightly or not at all","moderately","moderately","slightly","moderately","less than 1 month"
"EF1001C2","slightly","quite a bit","very slightly or not at all","quite a bit","very slightly or not at all","very slightly or not at all","very slightly or not at all","very slightly or not at all","slightly","moderately","moderately","never"
"EF1001C3","slightly","very slightly or not at all","very slightly or not at all","very slightly or not at all","slightly","very slightly or not at all","very slightly or not at all","very slightly or not at all","moderately","moderately","moderately","2-3 months"
"EF1001C4","very slightly or not at all","slightly","very slightly or not at all","very slightly or not at all","moderately","very slightly or not at all","very slightly or not at all","extremely","quite a bit","slightly","slightly",NA
"EF1003C1","quite a bit","moderately","slightly","moderately","quite a bit","moderately","very slightly or not at all","slightly","slightly","slightly","very slightly or not at all","6-12 months"
"EF1003C2","moderately","slightly","very slightly or not at all","slightly","slightly","moderately","very slightly or not at all","very slightly or not at all","moderately","slightly","slightly","never"
"EF1008C1","slightly","quite a bit","quite a bit","slightly","slightly","moderately","moderately","moderately","very slightly or not at all","slightly","slightly",NA
"EF1008C2","moderately","very slightly or not at all","very slightly or not at all","very slightly or not at all","very slightly or not at all","very slightly or not at all","very slightly or not at all","extremely","very slightly or not at all","very slightly or not at all","slightly","6-12 months"
"EF1009C1","slightly","moderately","moderately","moderately","extremely","moderately","very slightly or not at all","slightly","extremely","extremely","extremely","6-12 months"
"EF1009C2","very slightly or not at all","moderately","very slightly or not at all","moderately","moderately","moderately","very slightly or not at all","slightly","quite a bit","quite a bit","quite a bit","6-12 months"
"EF1011C1","very slightly or not at all","moderately","very slightly or not at all","moderately","very slightly or not at all","quite a bit","very slightly or not at all","moderately","very slightly or not at all","very slightly or not at all","very slightly or not at all","6-12 months"
"EF1011C2","slightly","moderately","moderately","slightly","very slightly or not at all","moderately","slightly","moderately","very slightly or not at all","slightly","slightly","6-12 months"
"EF1012C1","moderately","extremely","moderately","quite a bit","slightly","extremely","extremely","moderately","slightly","very slightly or not at all","slightly","6-12 months"
"EF1012C2","moderately","moderately","quite a bit","slightly","very slightly or not at all","very slightly or not at all","very slightly or not at all","moderately","slightly","very slightly or not at all","very slightly or not at all",NA
"EF1012C3","very slightly or not at all","very slightly or not at all","very slightly or not at all","extremely","extremely","slightly","very slightly or not at all","very slightly or not at all","quite a bit","quite a bit","very slightly or not at all","3-6 months"
"EF1014C1","slightly","moderately","moderately","slightly","slightly","moderately","slightly","slightly","moderately","moderately","moderately","6-12 months"
"EF1014C2","moderately","quite a bit","moderately","quite a bit","slightly","quite a bit","slightly","moderately","slightly","slightly","slightly","3-6 months"
"EF1016C1","extremely","quite a bit","moderately","quite a bit","very slightly or not at all","slightly","extremely","quite a bit","moderately","extremely","quite a bit","3-6 months"
"EF1017C1","very slightly or not at all","slightly","slightly","moderately","quite a bit","very slightly or not at all","very slightly or not at all","slightly","quite a bit","quite a bit","quite a bit","less than 1 month"
"EF1018C1","quite a bit","moderately","quite a bit","quite a bit","slightly","moderately","moderately","moderately","slightly","moderately","slightly",NA
"EF1018C2","slightly","slightly","very slightly or not at all","very slightly or not at all","very slightly or not at all","extremely","very slightly or not at all","slightly","slightly","slightly","very slightly or not at all",NA
"EF1019C1","slightly","moderately","moderately","slightly","very slightly or not at all","moderately","slightly","quite a bit","slightly","slightly","slightly","6-12 months"
"EF1020C1","very slightly or not at all","moderately","moderately","moderately","moderately","very slightly or not at all","moderately","quite a bit","slightly",NA,"moderately","never"
"EF1021C1","very slightly or not at all","slightly","very slightly or not at all","very slightly or not at all","moderately","moderately","moderately","slightly","moderately","moderately","moderately","never"
"EF1022C1","moderately","extremely","extremely","slightly","very slightly or not at all","quite a bit","moderately","extremely","slightly","slightly","very slightly or not at all",NA
"EF1023C1","very slightly or not at all","quite a bit","moderately","very slightly or not at all","moderately","very slightly or not at all","slightly","slightly","moderately","moderately","moderately","6-12 months"
"EF1026C2","slightly","quite a bit","slightly","slightly","moderately","slightly","extremely","extremely","slightly","moderately","moderately","3-6 months"
"EF1028C1","slightly","moderately","moderately","slightly","very slightly or not at all","slightly","slightly","moderately","slightly","slightly","slightly","2-3 months"
"EF1028C2","slightly","quite a bit","moderately","quite a bit","very slightly or not at all","moderately","extremely","quite a bit","slightly","moderately","moderately","2-3 months"
"EF1028C3","slightly","moderately","moderately","slightly","moderately","moderately","very slightly or not at all","moderately","slightly","slightly","moderately","3-6 months"
"EF1029C1","very slightly or not at all","very slightly or not at all","very slightly or not at all","very slightly or not at all","very slightly or not at all","very slightly or not at all","very slightly or not at all","very slightly or not at all",NA,NA,NA,"2-3 months"
"EF1029C2","slightly","slightly","very slightly or not at all","moderately","very slightly or not at all","very slightly or not at all","very slightly or not at all","very slightly or not at all","moderately","moderately","moderately","3-6 months"
"EF1030C1","extremely","slightly","very slightly or not at all","slightly","slightly","slightly","slightly","slightly","moderately","slightly","slightly",NA
"EF1030C2","moderately","very slightly or not at all","very slightly or not at all","very slightly or not at all","moderately","very slightly or not at all","very slightly or not at all","very slightly or not at all","quite a bit","moderately","quite a bit",NA
"EF1031C1","moderately","moderately","slightly","moderately","slightly","slightly","very slightly or not at all","quite a bit","moderately","moderately","very slightly or not at all","2-3 months"
"EF1032C1","quite a bit","quite a bit","quite a bit","quite a bit","quite a bit","quite a bit","quite a bit","quite a bit","quite a bit","quite a bit","quite a bit","never"
"EF1033C1","quite a bit","quite a bit","moderately","moderately","moderately","slightly","extremely","extremely","moderately","quite a bit","slightly","2-3 months"
"EF1034C1","slightly","slightly","slightly","slightly","slightly","slightly","slightly","slightly","slightly","slightly","slightly","6-12 months"
"EF1036C1","slightly","moderately","quite a bit","slightly","moderately","quite a bit","slightly","quite a bit","moderately","quite a bit","slightly","6-12 months"
"EF1037C1","moderately","quite a bit","quite a bit","moderately","very slightly or not at all","moderately","moderately","moderately","very slightly or not at all","very slightly or not at all","slightly","6-12 months"
"EF1038C1","slightly","very slightly or not at all","very slightly or not at all","moderately","quite a bit","quite a bit","very slightly or not at all","slightly","moderately","moderately","quite a bit","6-12 months"
"EF1040C1","very slightly or not at all","slightly","moderately","moderately","very slightly or not at all","slightly","very slightly or not at all","quite a bit","slightly","slightly","slightly","2-3 months"
"EF1041C1","slightly","quite a bit","moderately","very slightly or not at all","quite a bit","slightly","moderately","quite a bit","quite a bit","moderately","very slightly or not at all",NA
"EF1043C1","slightly","extremely","very slightly or not at all","quite a bit","moderately","very slightly or not at all","very slightly or not at all","moderately","quite a bit","quite a bit","quite a bit","3-6 months"
"EF1043C2","slightly","moderately","quite a bit","quite a bit","moderately","moderately","moderately","slightly","slightly","moderately","quite a bit","2-3 months"
"EF1043C3","very slightly or not at all","slightly","moderately","moderately","very slightly or not at all","very slightly or not at all","very slightly or not at all","very slightly or not at all","very slightly or not at all","slightly","moderately","less than 1 month"
"EF1043C4","very slightly or not at all","quite a bit","moderately","slightly","very slightly or not at all","very slightly or not at all","very slightly or not at all","very slightly or not at all","slightly","slightly","slightly","2-3 months"
"EF1049C1","moderately","moderately","slightly","quite a bit","slightly","moderately","very slightly or not at all","moderately","slightly","moderately","moderately",NA
"EF1051C1","very slightly or not at all","slightly","slightly","moderately","slightly","slightly","quite a bit","quite a bit","moderately","very slightly or not at all","very slightly or not at all","3-6 months"
"EF1052C2","moderately","quite a bit","extremely","moderately","very slightly or not at all","quite a bit","quite a bit","quite a bit","very slightly or not at all","very slightly or not at all","very slightly or not at all",NA
"EF1053C1","moderately","extremely","extremely","slightly","slightly","quite a bit","very slightly or not at all","extremely","slightly","moderately","slightly",NA
"EF1053C2","extremely","quite a bit","extremely","moderately","very slightly or not at all","very slightly or not at all","extremely","extremely","very slightly or not at all","very slightly or not at all","slightly","3-6 months"
"EF1054C1","quite a bit","moderately","slightly","slightly","very slightly or not at all","very slightly or not at all","very slightly or not at all","slightly","slightly","slightly","slightly","6-12 months"
"EF1056C1","slightly","moderately","slightly","slightly","very slightly or not at all","very slightly or not at all","slightly","very slightly or not at all","moderately","extremely","moderately","6-12 months"
"EF1056C2","very slightly or not at all","slightly","moderately","very slightly or not at all","slightly","slightly","very slightly or not at all","very slightly or not at all","very slightly or not at all","very slightly or not at all","very slightly or not at all","never"
"EF1059C1","moderately","moderately","moderately","moderately","moderately","moderately","moderately","moderately","moderately","extremely","extremely",NA
"EF1060C1","moderately","slightly","very slightly or not at all","quite a bit","moderately","slightly","very slightly or not at all","very slightly or not at all","moderately","moderately","very slightly or not at all","2-3 months"
"EF1060C2","quite a bit","quite a bit","quite a bit","moderately","moderately","moderately","moderately","moderately","moderately","moderately","moderately","3-6 months"
"EF1061C1","slightly","moderately",NA,"moderately","moderately","moderately","slightly","slightly","slightly","moderately","moderately",NA
"EF1061C2","quite a bit","slightly","slightly","slightly","quite a bit","slightly","slightly","slightly","quite a bit","quite a bit",NA,NA
"EF1062C1","slightly","moderately","slightly","slightly","quite a bit","slightly","slightly","slightly","moderately","quite a bit","quite a bit","6-12 months"
"EF1064C1","very slightly or not at all","very slightly or not at all","very slightly or not at all","very slightly or not at all","very slightly or not at all","very slightly or not at all","very slightly or not at all","very slightly or not at all","moderately","moderately","moderately","2-3 months"
"EF1065C1","very slightly or not at all","moderately","slightly","moderately","quite a bit","quite a bit","very slightly or not at all","extremely","moderately","slightly","slightly","6-12 months"
"EF1065C2","moderately","extremely","quite a bit","extremely","moderately","extremely","quite a bit",NA,"extremely","quite a bit","very slightly or not at all","less than 1 month"
"EF1065C3","slightly","slightly","very slightly or not at all","very slightly or not at all","slightly","very slightly or not at all","very slightly or not at all","very slightly or not at all","quite a bit","slightly","moderately","2-3 months"
"EF1066C1","slightly","very slightly or not at all","very slightly or not at all","moderately","quite a bit","very slightly or not at all","slightly","slightly","moderately","quite a bit","quite a bit","6-12 months"
"EF1067C1","very slightly or not at all","slightly","slightly","slightly","moderately","slightly","very slightly or not at all","slightly","quite a bit","moderately","moderately","3-6 months"
"EF1067C2","slightly","moderately","quite a bit","moderately","slightly","moderately","slightly","slightly","moderately","slightly","slightly","3-6 months"
"EF1068C1","very slightly or not at all","quite a bit","moderately","quite a bit","very slightly or not at all","slightly","slightly","moderately","slightly","moderately","moderately","3-6 months"
"EF1068C2","very slightly or not at all","extremely","extremely","extremely","very slightly or not at all","extremely","very slightly or not at all","slightly","moderately","very slightly or not at all",NA,"6-12 months"
"EF1070C1","moderately","extremely","extremely","slightly","very slightly or not at all","quite a bit","quite a bit","extremely","very slightly or not at all","moderately","slightly","3-6 months"
"EF1070C2","quite a bit","extremely","quite a bit","extremely","slightly","very slightly or not at all","extremely",NA,"moderately","quite a bit","very slightly or not at all","6-12 months"
"EF1072C1","extremely","quite a bit","moderately","slightly","quite a bit","moderately","moderately","slightly","quite a bit","extremely","slightly","3-6 months"
"EF1075C1","moderately","quite a bit","quite a bit","extremely","slightly","extremely","quite a bit","extremely","slightly","quite a bit","slightly","6-12 months"
"EF1075C2","very slightly or not at all","slightly","very slightly or not at all","moderately","slightly","very slightly or not at all","very slightly or not at all","slightly","quite a bit","quite a bit","moderately","6-12 months"
"EF1076C2","slightly","extremely","extremely","moderately","very slightly or not at all","slightly","extremely","extremely","slightly","slightly","slightly","3-6 months"
"EF1077C1","quite a bit","extremely","extremely","slightly","very slightly or not at all","quite a bit","moderately","moderately","slightly","moderately","very slightly or not at all","3-6 months"
"EF1079C1","moderately","moderately","moderately","moderately","moderately","moderately","moderately","moderately","moderately","moderately","moderately","2-3 months"
"EF1079C2","moderately","moderately","slightly","moderately","very slightly or not at all","slightly","very slightly or not at all","slightly","slightly","very slightly or not at all","very slightly or not at all","3-6 months"
"EF1079C3","very slightly or not at all","slightly","very slightly or not at all","very slightly or not at all","moderately","very slightly or not at all","slightly","slightly","extremely","extremely","moderately","never"
"EF1082C2","slightly","quite a bit","slightly","moderately","very slightly or not at all","very slightly or not at all","very slightly or not at all","quite a bit","slightly","very slightly or not at all",NA,"6-12 months"
"EF1082C3","slightly","moderately","extremely","moderately","very slightly or not at all","extremely","slightly","extremely","slightly","slightly","very slightly or not at all","3-6 months"
"EF1083C1","very slightly or not at all","slightly","very slightly or not at all","quite a bit","very slightly or not at all","slightly","slightly","slightly","quite a bit","moderately","extremely","6-12 months"
"EF1083C2","slightly","very slightly or not at all","very slightly or not at all","extremely","moderately","slightly","very slightly or not at all","very slightly or not at all","extremely","extremely","extremely","3-6 months"
"EF1083C3","quite a bit","moderately","very slightly or not at all","quite a bit","quite a bit","very slightly or not at all","very slightly or not at all","slightly","extremely","extremely","moderately","3-6 months"
"EF1085C1","moderately","slightly","slightly","quite a bit","quite a bit","very slightly or not at all","slightly","slightly","quite a bit","quite a bit","quite a bit","6-12 months"
"EF1086C1","slightly","quite a bit","moderately","quite a bit","slightly","quite a bit","quite a bit","quite a bit","moderately","slightly","slightly","6-12 months"
"EF1086C2","extremely","quite a bit","quite a bit","moderately","very slightly or not at all","very slightly or not at all","slightly","quite a bit","slightly","moderately","slightly",NA
"EF1088C1","moderately","moderately","slightly","moderately","slightly","slightly","very slightly or not at all","moderately","moderately","quite a bit","quite a bit","6-12 months"
"EF1088C2","quite a bit","quite a bit","slightly","quite a bit","very slightly or not at all","moderately","quite a bit","quite a bit","slightly","moderately","slightly","6-12 months"
"EF1089C1","slightly","very slightly or not at all","very slightly or not at all","quite a bit","moderately","very slightly or not at all","very slightly or not at all","very slightly or not at all","quite a bit","moderately","slightly","less than 1 month"
"EF1094C1","very slightly or not at all","very slightly or not at all","slightly","very slightly or not at all","moderately","moderately","moderately","moderately","slightly","very slightly or not at all","very slightly or not at all",NA
"EF1094C2","slightly","moderately","moderately","quite a bit","very slightly or not at all","moderately","very slightly or not at all","very slightly or not at all","slightly","moderately","moderately","6-12 months"
"EF1095C1","very slightly or not at all","moderately","slightly","moderately","moderately","very slightly or not at all","very slightly or not at all","slightly","moderately","moderately","moderately","3-6 months"
"EF1096C1","slightly","moderately","quite a bit","moderately","very slightly or not at all","moderately","quite a bit","moderately","slightly","very slightly or not at all","very slightly or not at all","6-12 months"
"EF1097C1","very slightly or not at all","moderately","very slightly or not at all","very slightly or not at all","very slightly or not at all","slightly","very slightly or not at all","very slightly or not at all","very slightly or not at all","very slightly or not at all","very slightly or not at all","6-12 months"
"EF1097C2","very slightly or not at all","slightly","very slightly or not at all","slightly","very slightly or not at all","slightly","very slightly or not at all","moderately","moderately","quite a bit","slightly","3-6 months"
"EF1097C3","very slightly or not at all","moderately","slightly","moderately","very slightly or not at all","very slightly or not at all","very slightly or not at all","very slightly or not at all","moderately","quite a bit","moderately","2-3 months"
"EF1098C1","moderately","extremely","extremely","quite a bit","very slightly or not at all","quite a bit","quite a bit","extremely","very slightly or not at all","slightly","slightly",NA
"EF1099C1","slightly","slightly","slightly","slightly","slightly","slightly","slightly","slightly","slightly","slightly","slightly","never"
"EF1100C2","slightly","slightly","very slightly or not at all","slightly","moderately","slightly","slightly","slightly","moderately","slightly","slightly","2-3 months"
"EF1102C1","slightly","moderately","moderately","slightly","very slightly or not at all","slightly","moderately","moderately","slightly","slightly","slightly","6-12 months"
"EF1103C1","slightly","slightly","very slightly or not at all","moderately","moderately","slightly","slightly","very slightly or not at all","moderately","quite a bit","quite a bit","2-3 months"
"EF1104C2","moderately","moderately","moderately","quite a bit","very slightly or not at all","quite a bit","extremely","slightly","quite a bit","slightly","slightly",NA
"EF1105C1","moderately","moderately","moderately","moderately","moderately","moderately","slightly","slightly","slightly","slightly","slightly","6-12 months"
"EF1107C1","slightly","slightly","very slightly or not at all","slightly","slightly","very slightly or not at all","very slightly or not at all","slightly","moderately","moderately","moderately","3-6 months"
"EF1108C1","very slightly or not at all","quite a bit","slightly","slightly","very slightly or not at all","quite a bit","extremely","quite a bit","very slightly or not at all","slightly","slightly","less than 1 month"
"EF1108C2","quite a bit","moderately","very slightly or not at all","slightly","moderately","very slightly or not at all","moderately","slightly","slightly","moderately","moderately","6-12 months"
"EF1108C3","moderately","extremely","quite a bit","quite a bit","very slightly or not at all","moderately","slightly","slightly","moderately","slightly","moderately",NA
"EF1109C1","moderately","slightly","slightly","moderately","quite a bit","moderately","slightly","moderately","moderately","moderately","moderately","6-12 months"
"EF1110C1","slightly","slightly","very slightly or not at all","moderately","moderately","very slightly or not at all","very slightly or not at all","very slightly or not at all","very slightly or not at all","very slightly or not at all","very slightly or not at all","6-12 months"
"EF1110C2","very slightly or not at all","very slightly or not at all","very slightly or not at all","very slightly or not at all","moderately","very slightly or not at all","very slightly or not at all",NA,"very slightly or not at all","moderately","moderately",NA
"EF1110C3","very slightly or not at all","very slightly or not at all","very slightly or not at all","very slightly or not at all","very slightly or not at all","very slightly or not at all","very slightly or not at all","very slightly or not at all","very slightly or not at all","very slightly or not at all","very slightly or not at all",NA
"EF1111C1","slightly","quite a bit","slightly","moderately","extremely","very slightly or not at all","slightly","slightly","quite a bit","quite a bit","quite a bit",NA
"EF1113C1","slightly","moderately","very slightly or not at all","slightly","slightly","very slightly or not at all","very slightly or not at all","moderately","slightly","slightly","slightly","2-3 months"
"EF1115C1","quite a bit","extremely","quite a bit","very slightly or not at all","very slightly or not at all","very slightly or not at all","slightly","moderately","very slightly or not at all","slightly","very slightly or not at all","6-12 months"
"EF1117C1","very slightly or not at all","very slightly or not at all","very slightly or not at all","very slightly or not at all","very slightly or not at all","very slightly or not at all","very slightly or not at all","very slightly or not at all","extremely","extremely","extremely",NA
"EF1118C1","moderately","slightly","moderately","quite a bit","slightly","slightly","moderately","quite a bit","moderately","moderately","moderately",NA
"EF1121C1","slightly","moderately","slightly","slightly","slightly","slightly","very slightly or not at all","slightly","quite a bit","quite a bit","quite a bit","6-12 months"
"EF1124C1","very slightly or not at all","quite a bit","slightly","slightly","moderately","slightly","very slightly or not at all","slightly","moderately","moderately","moderately","2-3 months"
"EF1126C1","extremely","extremely","extremely","extremely","very slightly or not at all","quite a bit","moderately","quite a bit","extremely","moderately","moderately","6-12 months"
"EF1127C1","slightly","slightly","slightly","quite a bit","slightly","slightly",NA,NA,NA,NA,NA,"3-6 months"
"EF1128C1","very slightly or not at all","moderately","slightly","moderately","very slightly or not at all","slightly","quite a bit","very slightly or not at all","slightly","very slightly or not at all","very slightly or not at all","3-6 months"
"EF1129C1","slightly","moderately","moderately","slightly","very slightly or not at all","slightly","moderately","slightly","very slightly or not at all","moderately","slightly","3-6 months"
"EF1130C1","quite a bit","slightly","very slightly or not at all","quite a bit","quite a bit","very slightly or not at all","very slightly or not at all","very slightly or not at all","extremely","extremely","extremely","never"
"EF1131C1","very slightly or not at all","slightly","moderately","quite a bit","extremely","very slightly or not at all","very slightly or not at all","very slightly or not at all","slightly","moderately","quite a bit",NA
"EF1132C2","moderately","quite a bit","quite a bit","very slightly or not at all","slightly","very slightly or not at all","very slightly or not at all","quite a bit","moderately","moderately","moderately",NA
"EF1133C1","very slightly or not at all","quite a bit","moderately","quite a bit","moderately","extremely","very slightly or not at all","slightly","quite a bit","very slightly or not at all","slightly","less than 1 month"
"EF1133C2","moderately","quite a bit","very slightly or not at all","moderately","slightly","slightly","very slightly or not at all","slightly","moderately","moderately","moderately","2-3 months"
"EF1134C1","very slightly or not at all","moderately","slightly","quite a bit","moderately","quite a bit","extremely","slightly","slightly","moderately","very slightly or not at all","2-3 months"
"EF1137C1","moderately","moderately","slightly","slightly","slightly","moderately","very slightly or not at all","slightly","quite a bit","quite a bit","quite a bit","3-6 months"
"EF1137C2","slightly","slightly","slightly","moderately","moderately","very slightly or not at all","slightly","slightly","very slightly or not at all","moderately","moderately","3-6 months"
"EF1138C1","very slightly or not at all","moderately","moderately","slightly","very slightly or not at all","moderately","slightly","quite a bit","slightly","moderately","very slightly or not at all","2-3 months"
"EF1139C1","very slightly or not at all","slightly","slightly","moderately","slightly","very slightly or not at all","very slightly or not at all","moderately","quite a bit","quite a bit","slightly","never"
"EF1139C2","very slightly or not at all","slightly","very slightly or not at all","moderately","slightly","very slightly or not at all","very slightly or not at all","slightly","quite a bit","slightly","slightly","3-6 months"
